Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
1983-03-04,Lappeenranta,Finland,L,10,Individual,0,World Cup,1,Gry Østvik,Norway,433,1983,1,1963-08-14T00:00:00.000000,19.55373032169747,1,0,1300.0,1317.5
1983-03-04,Lappeenranta,Finland,L,10,Individual,0,World Cup,2,Pirjo Aalto,Finland,400,1983,1,1961-02-19T00:00:00.000000,22.034223134839152,1,0,1300.0,1312.5
1983-03-04,Lappeenranta,Finland,L,10,Individual,0,World Cup,3,Tuula Ylinen,Finland,1101,1983,1,1961-03-04T00:00:00.000000,21.998631074606433,1,0,1300.0,1307.5
1983-03-04,Lappeenranta,Finland,L,10,Individual,0,World Cup,4,Mette Mestad,Norway,432,1983,1,1958-11-19T00:00:00.000000,24.28747433264887,1,0,1300.0,1302.5
1983-03-04,Lappeenranta,Finland,L,10,Individual,0,World Cup,5,Siv Bråten Lunde,Norway,434,1983,1,1960-12-31T00:00:00.000000,22.171115674195757,1,0,1300.0,1297.5
1983-03-04,Lappeenranta,Finland,L,10,Individual,0,World Cup,6,Bente Mestad,Norway,2334,1983,1,1961-03-04T00:00:00.000000,21.998631074606433,1,0,1300.0,1292.5
1983-03-04,Lappeenranta,Finland,L,10,Individual,0,World Cup,7,Aila Flyktman,Finland,1095,1983,1,1961-03-04T00:00:00.000000,21.998631074606433,1,0,1300.0,1287.5
1983-03-04,Lappeenranta,Finland,L,10,Individual,0,World Cup,8,Aino Kallunki,Finland,435,1983,1,1950-08-19T00:00:00.000000,32.539356605065024,1,0,1300.0,1282.5
1983-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Tuula Ylinen,Finland,1101,1983,0,1961-03-04T00:00:00.000000,21.998631074606433,1,0,1307.5,1306.375
1983-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Bente Mestad,Norway,2334,1983,0,1961-03-04T00:00:00.000000,21.998631074606433,1,0,1292.5,1293.625
1983-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Siv Bråten Lunde,Norway,434,1983,0,1960-12-31T00:00:00.000000,22.171115674195757,1,0,1297.5,1297.875
1983-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Pirjo Aalto,Finland,400,1983,0,1961-02-19T00:00:00.000000,22.034223134839152,1,0,1312.5,1310.625
1983-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Aila Flyktman,Finland,1095,1983,0,1961-03-04T00:00:00.000000,21.998631074606433,1,0,1287.5,1289.375
1983-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Aino Kallunki,Finland,435,1983,0,1950-08-19T00:00:00.000000,32.539356605065024,1,0,1282.5,1285.125
1983-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Mette Mestad,Norway,432,1983,0,1958-11-19T00:00:00.000000,24.28747433264887,1,0,1302.5,1302.125
1983-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Gry Østvik,Norway,433,1983,0,1963-08-14T00:00:00.000000,19.55373032169747,1,0,1317.5,1314.875
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,1,Gry Østvik,Norway,433,1984,1,1963-08-14T00:00:00.000000,20.396988364134156,3,0,1314.875,1336.1837737682497
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,2,Siv Bråten Lunde,Norway,434,1984,1,1960-12-31T00:00:00.000000,23.014373716632445,3,0,1297.875,1315.4055362794663
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,3,Aino Kallunki,Finland,435,1984,1,1950-08-19T00:00:00.000000,33.38261464750171,3,0,1285.125,1298.5720819835938
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,4,Mette Mestad,Norway,432,1984,1,1958-11-19T00:00:00.000000,25.130732375085557,3,0,1302.125,1309.3498811406378
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,5,Aila Flyktman,Finland,1095,1984,1,1961-03-04T00:00:00.000000,22.84188911704312,3,0,1289.375,1292.5167279530342
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,6,Eva Korpela,Sweden,429,1984,1,1958-10-31T00:00:00.000000,25.182751540041068,1,0,1300.0,1297.3777041385217
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,7,Doris Niva,Sweden,1102,1984,1,1962-01-06T00:00:00.000000,21.998631074606433,1,0,1300.0,1292.3777041385217
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,8,Sanna Grønlid,Norway,430,1984,1,1959-05-02T00:00:00.000000,24.68172484599589,2,0,1300.0,1287.3777041385217
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,9,Bente Mestad,Norway,2334,1984,1,1961-03-04T00:00:00.000000,22.84188911704312,3,0,1293.625,1276.4611823209318
1984-01-06,Falun,Sweden,L,10,Individual,0,World Cup,10,Annelie Engström,Sweden,1176,1984,1,1962-01-06T00:00:00.000000,21.998631074606433,1,0,1300.0,1277.3777041385217
1984-01-19,Ruhpolding,Germany,L,10,Individual,0,World Cup,1,Mette Mestad,Norway,432,1984,3,1958-11-19T00:00:00.000000,25.166324435318273,5,0,1309.3498811406378,1321.7297037307897
1984-01-19,Ruhpolding,Germany,L,10,Individual,0,World Cup,2,Siv Bråten Lunde,Norway,434,1984,3,1960-12-31T00:00:00.000000,23.04996577686516,4,0,1315.4055362794663,1322.5245679715167
1984-01-19,Ruhpolding,Germany,L,10,Individual,0,World Cup,3,Sanna Grønlid,Norway,430,1984,3,1959-05-02T00:00:00.000000,24.71731690622861,4,0,1287.3777041385217,1290.7032300138253
1984-01-19,Ruhpolding,Germany,L,10,Individual,0,World Cup,4,Gry Østvik,Norway,433,1984,3,1963-08-14T00:00:00.000000,20.432580424366872,4,0,1336.1837737682497,1332.4106908263254
1984-01-19,Ruhpolding,Germany,L,10,Individual,0,World Cup,5,Aino Kallunki,Finland,435,1984,3,1950-08-19T00:00:00.000000,33.41820670773443,5,0,1298.5720819835938,1291.4161374327452
1984-01-19,Ruhpolding,Germany,L,10,Individual,0,World Cup,6,Aila Flyktman,Finland,1095,1984,3,1961-03-04T00:00:00.000000,22.87748117727584,5,0,1292.5167279530342,1280.6213752883011
1984-02-29,Chamonix,France,L,10,Individual,0,World Championship,1,Venera Chernyshova,Soviet,1087,1984,5,1954-03-05T00:00:00.000000,29.987679671457904,1,0,1300.0,1385.2547754573477
1984-02-29,Chamonix,France,L,10,Individual,0,World Championship,2,Ludmila Zabolotnaya,Soviet,1088,1984,5,1962-02-28T00:00:00.000000,22.001368925393567,1,0,1300.0,1380.2547754573477
1984-02-29,Chamonix,France,L,10,Individual,0,World Championship,3,Tatiana Brylina,Soviet,1089,1984,5,1962-02-28T00:00:00.000000,22.001368925393567,1,0,1300.0,1375.2547754573477
1984-02-29,Chamonix,France,L,10,Individual,0,World Championship,4,Kaya Parve-Helinurm,Soviet,431,1984,5,1964-06-14T00:00:00.000000,19.709787816563995,1,0,1300.0,1370.2547754573477
1984-02-29,Chamonix,France,L,10,Individual,0,World Championship,5,Kari Swenson,USA,1090,1984,5,1962-01-01T00:00:00.000000,22.16016427104723,1,0,1300.0,1365.2547754573477
1984-02-29,Chamonix,France,L,10,Individual,0,World Championship,6,Siv Bråten Lunde,Norway,434,1984,5,1960-12-31T00:00:00.000000,23.16221765913758,6,0,1322.5245679715167,1377.117069923256
1984-02-29,Chamonix,France,L,10,Individual,0,World Championship,7,Sanna Grønlid,Norway,430,1984,5,1959-05-02T00:00:00.000000,24.829568788501025,6,0,1290.7032300138253,1348.2971401520524
1984-02-29,Chamonix,France,L,10,Individual,0,World Championship,8,Christine Claude,France,1091,1984,5,1962-02-28T00:00:00.000000,22.001368925393567,1,0,1300.0,1350.2547754573477
