Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Leg,Age,Exp,Pelo,Elo
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,1,Fabio Maj,Italy,445,2000,8,1970-06-16 00:00:00.000000,0,29.530458590006845,120,1300.0,1406.6666666666667
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,2,Espen Bjervig,Norway,457,2000,8,1972-06-30 00:00:00.000000,0,27.49075975359343,36,1300.0,1404.0
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,3,Odd-Bjørn Hjelmeset,Norway,96,2000,8,1971-12-06 00:00:00.000000,0,28.057494866529773,51,1300.0,1401.3333333333333
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,4,Morten Brørs,Norway,471,2000,8,1973-07-28 00:00:00.000000,0,26.414784394250514,10,1300.0,1398.6666666666667
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,5,Tor Arne Hetland,Norway,221,2000,8,1974-01-12 00:00:00.000000,0,25.95482546201232,45,1300.0,1396.0
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,6,Achim Walcher,Austria,488,2000,8,1967-12-01 00:00:00.000000,0,32.07118412046543,62,1300.0,1393.3333333333333
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,7,Silvio Fauner,Italy,420,2000,8,1968-11-01 00:00:00.000000,0,31.151266255989047,174,1300.0,1390.6666666666667
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,8,Andrus Veerpalu,Estonia,72,2000,8,1971-02-08 00:00:00.000000,0,28.881587953456535,70,1300.0,1388.0
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,9,Frode Estil,Norway,296,2000,8,1972-05-31 00:00:00.000000,0,27.57289527720739,46,1300.0,1385.3333333333333
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,10,Morgan Göransson,Sweden,479,2000,8,1972-01-01 00:00:00.000000,0,27.98631074606434,68,1300.0,1382.6666666666667
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,11,Markus Hasler,Liechtenstein,352,2000,8,1971-10-03 00:00:00.000000,0,28.23271731690623,107,1300.0,1380.0
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,12,Mathias Fredriksson,Sweden,85,2000,8,1973-02-11 00:00:00.000000,0,26.872005475701574,110,1300.0,1377.3333333333333
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,13,Sami Repo,Finland,402,2000,8,1971-11-08 00:00:00.000000,0,28.134154688569474,94,1300.0,1374.6666666666667
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,14,Vincent Vittoz,France,30,2000,8,1975-07-17 00:00:00.000000,0,24.44626967830253,60,1300.0,1372.0
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,15,Cristian Zorzi,Italy,170,2000,8,1972-08-14 00:00:00.000000,0,27.367556468172484,41,1300.0,1369.3333333333333
