FIS_Name,Skier,Nation,Team_Name,Team_Position,Race_Type
Mateo Lorenzo Sauma,Mateo Lorenzo Sauma,Argentina,Argentina,1,Team Sprint
Franco Dal Farra,Franco Dal Farra,Argentina,Argentina,2,Team Sprint
Hugo Hinckfuss,Hugo Hinckfuss,Australia,Australia,1,Team Sprint
Lars Young Vik,Lars Young Vik,Australia,Australia,2,Team Sprint
Benjamin Moser,Benjamin Moser,Austria,Austria,1,Team Sprint
Mika Vermeulen,Mika Vermeulen,Austria,Austria,2,Team Sprint
Mario Matikanov,Mario Matikanov,Bulgaria,Bulgaria,1,Team Sprint
Daniel Peshkov,Daniel Peshkov,Bulgaria,Bulgaria,2,Team Sprint
Antoine Cyr,Antoine Cyr,Canada,Canada,1,Team Sprint
Xavier McKeever,Xavier McKeever,Canada,Canada,2,Team Sprint
Qiang Wang,Qiang Wang,China,China,1,Team Sprint
Minglin Li,Minglin Li,China,China,2,Team Sprint
Michal Novak,Michal Novak,Czechia,Czechia,1,Team Sprint
Ondrej Cerny,Ondrej Cerny,Czechia,Czechia,2,Team Sprint
Martin Himma,Martin Himma,Estonia,Estonia,1,Team Sprint
Alvar Johannes Alev,Alvar Johannes Alev,Estonia,Estonia,2,Team Sprint
Arsi Ruuskanen,Arsi Ruuskanen,Finland,Finland,1,Team Sprint
Nilo Moilanen,Nilo Moilanen,Finland,Finland,2,Team Sprint
Mathis Desloges,Mathis Desloges,France,France,1,Team Sprint
Jules Chappaz,Jules Chappaz,France,France,2,Team Sprint
Janosch Brugger,Janosch Brugger,Germany,Germany,1,Team Sprint
Jan Stölben,Jan Stölben,Germany,Germany,2,Team Sprint
Andrew Musgrave,Andrew Musgrave,Great Britain,Great Britain,1,Team Sprint
James Clugnet,James Clugnet,Great Britain,Great Britain,2,Team Sprint
Adam Büki,Adam Büki,Hungary,Hungary,1,Team Sprint
Adam Konya,Adam Konya,Hungary,Hungary,2,Team Sprint
Federico Pellegrino,Federico Pellegrino,Italy,Italy,1,Team Sprint
Davide Graz,Davide Graz,Italy,Italy,2,Team Sprint
Naoto Baba,Naoto Baba,Japan,Japan,1,Team Sprint
Haruki Yamashita,Haruki Yamashita,Japan,Japan,2,Team Sprint
Vitaliy Pukhkalo,Vitaliy Pukhkalo,Kazakhstan,Kazakhstan,1,Team Sprint
Amirgali Muratbekov,Amirgali Muratbekov,Kazakhstan,Kazakhstan,2,Team Sprint
Raimo Vigants,Raimo Vigants,Latvia,Latvia,1,Team Sprint
Lauris Kaparkalejs,Lauris Kaparkalejs,Latvia,Latvia,2,Team Sprint
Modestas Vaiciulis,Modestas Vaiciulis,Lithuania,Lithuania,1,Team Sprint
Tautvydas Strolia,Tautvydas Strolia,Lithuania,Lithuania,2,Team Sprint
Johannes Høsflot Klæbo,Johannes Høsflot Klæbo,Norway,Norway,1,Team Sprint
Harald Østberg Amundsen,Harald Østberg Amundsen,Norway,Norway,2,Team Sprint
Dominik Bury,Dominik Bury,Poland,Poland,1,Team Sprint
Sebastian Bryja,Sebastian Bryja,Poland,Poland,2,Team Sprint
Gabriel Cojocaru,Gabriel Cojocaru,Romania,Romania,1,Team Sprint
Paul Constantin Pepene,Paul Constantin Pepene,Romania,Romania,2,Team Sprint
Tomas Cenek,Tomas Cenek,Slovakia,Slovakia,1,Team Sprint
Peter Hinds,Peter Hinds,Slovakia,Slovakia,2,Team Sprint
Vili Crv,Vili Crv,Slovenia,Slovenia,1,Team Sprint
Nejc Stern,Nejc Stern,Slovenia,Slovenia,2,Team Sprint
Jaume Pueyo,Jaume Pueyo,Spain,Spain,1,Team Sprint
Marc Colell Pantebre,Marc Colell Pantebre,Spain,Spain,2,Team Sprint
Edvin Anger,Edvin Anger,Sweden,Sweden,1,Team Sprint
William Poromaa,William Poromaa,Sweden,Sweden,2,Team Sprint
Janik Riebli,Janik Riebli,Switzerland,Switzerland,1,Team Sprint
Valerio Grond,Valerio Grond,Switzerland,Switzerland,2,Team Sprint
Gus Schumacher,Gus Schumacher,USA,USA,1,Team Sprint
Ben Ogden,Ben Ogden,USA,USA,2,Team Sprint
Oleksandr Lisohor,Oleksandr Lisohor,Ukraine,Ukraine,1,Team Sprint
Dmytro Dragun,Dmytro Dragun,Ukraine,Ukraine,2,Team Sprint
