Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Leg,Age,Exp,Pelo,Elo
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,1,Gaby Nestler,Germany,2542,1986,4,1967-02-16 00:00:00.000000,0,18.902121834360027,15,1300.0,1381.6666666666667
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,2,Carola Anding Jacob,Germany,2556,1986,4,1960-12-29 00:00:00.000000,0,25.034907597535934,21,1300.0,1378.3333333333333
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,3,Simone Opitz,Germany,1452,1986,4,1963-07-03 00:00:00.000000,0,22.527036276522928,8,1300.0,1375.0
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,4,Brit Pettersen Tofte,Norway,2534,1986,4,1961-11-24 00:00:00.000000,0,24.13141683778234,47,1300.0,1371.6666666666667
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,5,Anne Jahren,Norway,1000,1986,4,1963-06-20 00:00:00.000000,0,22.562628336755647,36,1300.0,1368.3333333333333
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,6,Alzbeta Havrancikova,Slovakia,1020,1986,4,1963-09-27 00:00:00.000000,0,22.29158110882957,20,1300.0,1365.0
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,7,Karin Lamberg-Skog,Sweden,2484,1986,4,1961-01-17 00:00:00.000000,0,24.982888432580424,27,1300.0,1361.6666666666667
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,8,Evi Kratzer,Switzerland,2486,1986,4,1961-01-24 00:00:00.000000,0,24.9637234770705,45,1300.0,1358.3333333333333
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,9,Marianne Dahlmo,Norway,1386,1986,4,1965-01-05 00:00:00.000000,0,21.01574264202601,10,1300.0,1355.0
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,10,Marjo Matikainen-Kallström,Finland,2485,1986,4,1965-02-03 00:00:00.000000,0,20.93634496919918,16,1300.0,1351.6666666666667
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,11,Guidina Dal Sasso,Italy,1168,1986,4,1958-01-16 00:00:00.000000,0,27.98631074606434,22,1300.0,1348.3333333333333
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,13,Marie Johansson,Sweden,2535,1986,4,1963-06-30 00:00:00.000000,0,22.535249828884325,30,1300.0,1345.0
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,14,Berit Kvello Aunli,Norway,2549,1986,4,1956-06-09 00:00:00.000000,0,29.590691307323752,40,1300.0,1340.0
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,14,Susann Kuhfittig,Germany,2492,1986,4,1965-09-01 00:00:00.000000,0,20.361396303901437,5,1300.0,1340.0
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,16,Tamara Tikhonova,Soviet,1537,1986,4,1964-06-13 00:00:00.000000,0,21.579739904175224,14,1300.0,1335.0
