Elo,Individual_Elo,IndividualCompact_Elo,Sprint_Elo,MassStart_Elo,Pelo,Individual_Pelo,IndividualCompact_Pelo,Sprint_Pelo,MassStart_Pelo,Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Elevation
1372.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,1,Tara Geraghty-Moats,USA,58,2021,1,1993-04-12T00:00:00.000000,27.685147159479808,1,0,1106.0
1367.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,2,Gyda Westvold Hansen,Norway,4,2021,1,2002-04-20T00:00:00.000000,18.663928815879533,1,0,1106.0
1362.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,3,Anju Nakamura,Japan,67,2021,1,2000-01-23T00:00:00.000000,20.903490759753595,1,0,1106.0
1357.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,4,Marte Leinan Lund,Norway,7,2021,1,2001-04-01T00:00:00.000000,19.71526351813826,1,0,1106.0
1352.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,5,Sigrun Kleinrath,Austria,76,2021,1,2004-01-16T00:00:00.000000,16.922655715263517,1,0,1106.0
1347.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,6,Lisa Hirner,Austria,52,2021,1,2003-10-03T00:00:00.000000,17.21013004791239,1,0,1106.0
1342.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,7,Mari Leinan Lund,Norway,8,2021,1,1999-05-28T00:00:00.000000,21.560574948665295,1,0,1106.0
1337.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,8,Veronica Gianmoena,Italy,29,2021,1,1995-10-25T00:00:00.000000,25.149897330595483,1,0,1106.0
1332.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,9,Annika Sieff,Italy,47,2021,1,2003-10-27T00:00:00.000000,17.144421629021217,1,0,1106.0
1327.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,10,Anastasia Goncharova,Russia,45,2021,1,1999-10-10T00:00:00.000000,21.190965092402465,1,0,1106.0
1322.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,11,Hanna Midtsundstad,Norway,3,2021,1,1999-09-22T00:00:00.000000,21.24024640657084,1,0,1106.0
1317.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,12,Daniela Dejori,Italy,37,2021,1,2002-08-01T00:00:00.000000,18.38193018480493,1,0,1106.0
1312.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,13,Jenny Nowak,Germany,25,2021,1,2002-08-20T00:00:00.000000,18.32991101984942,1,0,1106.0
1307.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,14,Yuna Kasai,Japan,161,2021,1,2004-02-04T00:00:00.000000,16.870636550308006,1,0,1106.0
1302.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,15,Stefaniya Nadymova,Russia,27,2021,1,1994-12-01T00:00:00.000000,26.04791238877481,1,0,1106.0
1297.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,16,Ema Volavsek,Slovenia,49,2021,1,2002-12-15T00:00:00.000000,18.00958247775496,1,0,1106.0
1292.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,17,Ayane Miyazaki,Japan,28,2021,1,2002-09-15T00:00:00.000000,18.258726899383984,1,0,1106.0
1287.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,18,Mille Moen Flatla,Norway,163,2021,1,2001-08-31T00:00:00.000000,19.299110198494184,1,0,1106.0
1282.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,19,Annalena Slamik,Austria,41,2021,1,2003-03-23T00:00:00.000000,17.741273100616016,1,0,1106.0
1277.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,20,Maria Gerboth,Germany,66,2021,1,2002-06-19T00:00:00.000000,18.49965776865161,1,0,1106.0
1272.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,21,Sophia Maurus,Germany,23,2021,1,2001-11-30T00:00:00.000000,19.04996577686516,1,0,1106.0
1267.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,22,Léna Brocard,France,53,2021,1,2000-05-19T00:00:00.000000,20.583162217659137,1,0,1106.0
1262.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,23,Sana Azegami,Japan,162,2021,1,2001-11-04T00:00:00.000000,19.1211498973306,1,0,1106.0
1257.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,24,Svenja Wuerth,Germany,165,2021,1,1993-08-20T00:00:00.000000,27.329226557152637,1,0,1106.0
1252.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,25,Svetlana Gladikova,Russia,24,2021,1,1992-05-25T00:00:00.000000,28.566735112936342,1,0,1106.0
1247.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,26,Claudia Purker,Austria,177,2021,1,1999-01-15T00:00:00.000000,21.924709103353862,1,0,1106.0
1242.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,27,Silva Verbič,Slovenia,40,2021,1,2002-03-31T00:00:00.000000,18.718685831622174,1,0,1106.0
1237.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,28,Annika Malacinski,USA,61,2021,1,2001-05-09T00:00:00.000000,19.61122518822724,1,0,1106.0
1232.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,29,Alexa Brabec,USA,81,2021,1,2004-10-08T00:00:00.000000,16.194387405886378,1,0,1106.0
1227.5,,,,,1300.0,,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,30,Tess Arnone,USA,36,2021,1,2003-10-13T00:00:00.000000,17.182751540041068,1,0,1106.0
1421.7353348774338,,,,,1367.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,1,Gyda Westvold Hansen,Norway,4,2021,2,2002-04-20T00:00:00.000000,18.858316221765914,2,0,932.0
1396.5801921757156,,,,,1342.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,2,Mari Leinan Lund,Norway,8,2021,2,1999-05-28T00:00:00.000000,21.75496235455168,2,0,932.0
1403.6604820490552,,,,,1357.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,3,Marte Leinan Lund,Norway,7,2021,2,2001-04-01T00:00:00.000000,19.90965092402464,2,0,932.0
1402.6955395926225,,,,,1362.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,4,Anju Nakamura,Japan,67,2021,2,2000-01-23T00:00:00.000000,21.097878165639973,2,0,932.0
1405.78021200147,,,,,1372.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,5,Tara Geraghty-Moats,USA,58,2021,2,1993-04-12T00:00:00.000000,27.879534565366185,2,0,932.0
1368.5437515161243,,,,,1332.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,6,Annika Sieff,Italy,47,2021,2,2003-10-27T00:00:00.000000,17.338809034907598,2,0,932.0
1351.507194748392,,,,,1317.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,7,Daniela Dejori,Italy,37,2021,2,2002-08-01T00:00:00.000000,18.576317590691307,2,0,932.0
1370.6031690734062,,,,,1347.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,8,Lisa Hirner,Austria,52,2021,2,2003-10-03T00:00:00.000000,17.404517453798768,2,0,932.0
1369.6298111093158,,,,,1352.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,9,Sigrun Kleinrath,Austria,76,2021,2,2004-01-16T00:00:00.000000,17.117043121149898,2,0,932.0
1316.4687193033467,,,,,1292.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,10,Ayane Miyazaki,Japan,28,2021,2,2002-09-15T00:00:00.000000,18.45311430527036,2,0,932.0
1317.4795434487028,,,,,1300.0,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,11,Cindy Haasch,Germany,78,2021,2,2004-08-19T00:00:00.000000,16.525667351129364,1,0,932.0
1282.399214372041,,,,,1262.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,12,Sana Azegami,Japan,162,2021,2,2001-11-04T00:00:00.000000,19.31553730321697,2,0,932.0
1309.483091607354,,,,,1302.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,13,Stefaniya Nadymova,Russia,27,2021,2,1994-12-01T00:00:00.000000,26.24229979466119,2,0,932.0
1288.452032380805,,,,,1282.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,14,Annalena Slamik,Austria,41,2021,2,2003-03-23T00:00:00.000000,17.935660506502394,2,0,932.0
1287.4608615713116,,,,,1287.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,15,Mille Moen Flatla,Norway,163,2021,2,2001-08-31T00:00:00.000000,19.49349760438056,2,0,932.0
1298.490393399937,,,,,1307.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,16,Yuna Kasai,Japan,161,2021,2,2004-02-04T00:00:00.000000,17.065023956194388,2,0,932.0
1253.3797124628736,,,,,1257.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,17,Svenja Wuerth,Germany,165,2021,2,1993-08-20T00:00:00.000000,27.52361396303901,2,0,932.0
1292.4982969545715,,,,,1312.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,18,Jenny Nowak,Germany,25,2021,2,2002-08-20T00:00:00.000000,18.5242984257358,2,0,932.0
1259.4418406465174,,,,,1277.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,19,Maria Gerboth,Germany,66,2021,2,2002-06-19T00:00:00.000000,18.694045174537987,2,0,932.0
1270.4759981584627,,,,,1297.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,20,Ema Volavsek,Slovenia,49,2021,2,2002-12-15T00:00:00.000000,18.203969883641346,2,0,932.0
1241.4158162939495,,,,,1267.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,21,Léna Brocard,France,53,2021,2,2000-05-19T00:00:00.000000,20.77754962354552,2,0,932.0
1262.4795434487028,,,,,1300.0,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,22,Lena Prinoth,Italy,46,2021,2,2003-03-24T00:00:00.000000,17.932922655715263,1,0,932.0
1207.2652881310478,,,,,1237.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,23,Annika Malacinski,USA,61,2021,2,2001-05-09T00:00:00.000000,19.80561259411362,2,0,932.0
1214.3569358358384,,,,,1252.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,24,Svetlana Gladikova,Russia,24,2021,2,1992-05-25T00:00:00.000000,28.761122518822724,2,0,932.0
1205.3305147334297,,,,,1247.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,25,Claudia Purker,Austria,177,2021,2,1999-01-15T00:00:00.000000,22.119096509240247,2,0,932.0
1188.2257727097626,,,,,1232.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,26,Alexa Brabec,USA,81,2021,2,2004-10-08T00:00:00.000000,16.38877481177276,2,0,932.0
1237.4795434487028,,,,,1300.0,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,27,Tereza Koldovska,Czechia,89,2021,2,2004-10-19T00:00:00.000000,16.358658453114305,1,0,932.0
1174.1811939491076,,,,,1227.5,,,,,2021-02-27,Oberstdorf,Germany,L,,Individual,0,World Championship,28,Tess Arnone,USA,36,2021,2,2003-10-13T00:00:00.000000,17.377138945927445,2,0,932.0
1274.9045984346933,1274.9045984346933,,,,1270.4759981584627,1270.4759981584627,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Ema Volavsek,Slovenia,49,2021,0,2002-12-15T00:00:00.000000,18.203969883641346,2,0,0.0
1360.0126937123953,1360.0126937123953,,,,1370.6031690734062,1370.6031690734062,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Lisa Hirner,Austria,52,2021,0,2003-10-03T00:00:00.000000,17.404517453798768,2,0,0.0
1246.8576119313973,1246.8576119313973,,,,1237.4795434487028,1237.4795434487028,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Tereza Koldovska,Czechia,89,2021,0,2004-10-19T00:00:00.000000,16.358658453114305,1,0,0.0
1308.0606278662508,1308.0606278662508,,,,1309.483091607354,1309.483091607354,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Stefaniya Nadymova,Russia,27,2021,0,1994-12-01T00:00:00.000000,26.24229979466119,2,0,0.0
1265.5255645495397,1265.5255645495397,,,,1259.4418406465174,1259.4418406465174,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Maria Gerboth,Germany,66,2021,0,2002-06-19T00:00:00.000000,18.694045174537987,2,0,0.0
1221.1754949113906,1221.1754949113906,,,,1207.2652881310478,1207.2652881310478,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Annika Malacinski,USA,61,2021,0,2001-05-09T00:00:00.000000,19.80561259411362,2,0,0.0
1260.3727555934424,1260.3727555934424,,,,1253.3797124628736,1253.3797124628736,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Svenja Wuerth,Germany,165,2021,0,1993-08-20T00:00:00.000000,27.52361396303901,2,0,0.0
1289.3417323356148,1289.3417323356148,,,,1287.4608615713116,1287.4608615713116,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Mille Moen Flatla,Norway,163,2021,0,2001-08-31T00:00:00.000000,19.49349760438056,2,0,0.0
1285.0393322162347,1285.0393322162347,,,,1282.399214372041,1282.399214372041,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Sana Azegami,Japan,162,2021,0,2001-11-04T00:00:00.000000,19.31553730321697,2,0,0.0
1227.2033954604626,1227.2033954604626,,,,1214.3569358358384,1214.3569358358384,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Svetlana Gladikova,Russia,24,2021,0,1992-05-25T00:00:00.000000,28.761122518822724,2,0,0.0
1358.2621887887055,1358.2621887887055,,,,1368.5437515161243,1368.5437515161243,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Annika Sieff,Italy,47,2021,0,2003-10-27T00:00:00.000000,17.338809034907598,2,0,0.0
1204.9919068032982,1204.9919068032982,,,,1188.2257727097626,1188.2257727097626,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Alexa Brabec,USA,81,2021,0,2004-10-08T00:00:00.000000,16.38877481177276,2,0,0.0
1219.530937523415,1219.530937523415,,,,1205.3305147334297,1205.3305147334297,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Claudia Purker,Austria,177,2021,0,1999-01-15T00:00:00.000000,22.119096509240247,2,0,0.0
1268.1076119313973,1268.1076119313973,,,,1262.4795434487028,1262.4795434487028,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Lena Prinoth,Italy,46,2021,0,2003-03-24T00:00:00.000000,17.932922655715263,1,0,0.0
1313.9984114078447,1313.9984114078447,,,,1316.4687193033467,1316.4687193033467,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Ayane Miyazaki,Japan,28,2021,0,2002-09-15T00:00:00.000000,18.45311430527036,2,0,0.0
1251.125,1251.125,,,,1242.5,1242.5,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Silva Verbič,Slovenia,40,2021,0,2002-03-31T00:00:00.000000,18.718685831622174,1,0,0.0
1250.2034438498572,1250.2034438498572,,,,1241.4158162939495,1241.4158162939495,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Léna Brocard,France,53,2021,0,2000-05-19T00:00:00.000000,20.77754962354552,2,0,0.0
1389.9131802012494,1389.9131802012494,,,,1405.78021200147,1405.78021200147,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Tara Geraghty-Moats,USA,58,2021,0,1993-04-12T00:00:00.000000,27.879534565366185,2,0,0.0
1319.125,1319.125,,,,1322.5,1322.5,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Hanna Midtsundstad,Norway,3,2021,0,1999-09-22T00:00:00.000000,21.24024640657084,1,0,0.0
1382.0931633493583,1382.0931633493583,,,,1396.5801921757156,1396.5801921757156,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Mari Leinan Lund,Norway,8,2021,0,1999-05-28T00:00:00.000000,21.75496235455168,2,0,0.0
1276.625,1276.625,,,,1272.5,1272.5,,,,2021-05-01,Summer,Break,L,0.0,Offseason,0,Offseason,0,Sophia Maurus,Germany,23,2021,0,2001-11-30T00:00:00.000000,19.04996577686516,1,0,0.0
