Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,1,Jens Lurås Oftebro,Norway,1329,2024,1,2000-07-21T00:00:00.000000,23.342915811088297,94,0,1300.0,1326.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,2,Jarl Magnus Riiber,Norway,1150,2024,1,1997-10-15T00:00:00.000000,26.10814510609172,131,0,1300.0,1325.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,3,Jørgen Graabak,Norway,17,2024,1,1991-04-26T00:00:00.000000,32.580424366872,247,0,1300.0,1324.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,4,Johannes Rydzek,Germany,14,2024,1,1991-12-09T00:00:00.000000,31.958932238193018,311,0,1300.0,1323.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,5,Eero Hirvonen,Finland,1155,2024,1,1996-01-30T00:00:00.000000,27.816563997262147,145,0,1300.0,1322.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,6,Johannes Lamparter,Austria,1469,2024,1,2001-11-08T00:00:00.000000,22.042436687200546,87,0,1300.0,1321.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,7,Manuel Faißt,Germany,36,2024,1,1993-01-11T00:00:00.000000,30.866529774127308,223,0,1300.0,1320.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,8,Stefan Rettenegger,Austria,1775,2024,1,2002-02-03T00:00:00.000000,21.804243668720055,47,0,1300.0,1319.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,9,Kristjan Ilves,Estonia,403,2024,1,1996-06-10T00:00:00.000000,27.45516769336071,170,0,1300.0,1318.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,10,Ilkka Herola,Finland,97,2024,1,1995-06-22T00:00:00.000000,28.424366872005475,239,0,1300.0,1317.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,11,Julian Schmid,Germany,1348,2024,1,1999-09-01T00:00:00.000000,24.229979466119097,86,0,1300.0,1316.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,12,David Mach,Germany,1468,2024,1,2000-05-14T00:00:00.000000,23.529089664613277,27,0,1300.0,1315.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,13,Stephen Schumann,USA,1237,2024,1,2000-03-14T00:00:00.000000,23.696098562628336,29,0,1300.0,1314.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,14,Terence Weber,Germany,1137,2024,1,1996-09-24T00:00:00.000000,27.16495550992471,126,0,1300.0,1313.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,15,Matteo Baud,France,1765,2024,1,2002-06-26T00:00:00.000000,21.412731006160165,62,0,1300.0,1312.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,16,Vinzenz Geiger,Germany,1182,2024,1,1997-07-24T00:00:00.000000,26.33538672142368,145,0,1300.0,1311.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,17,Martin Fritz,Austria,1090,2024,1,1994-10-24T00:00:00.000000,29.084188911704313,139,0,1300.0,1310.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,18,Tristan Sommerfeldt,Germany,1992,2024,1,2004-12-16T00:00:00.000000,18.937713894592743,13,0,1300.0,1309.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,19,Simen Tiller,Norway,370,2024,1,1995-11-25T00:00:00.000000,27.99726214921287,41,0,1300.0,1308.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,20,Ben Loomis,USA,1179,2024,1,1998-06-09T00:00:00.000000,25.45927446954141,92,0,1300.0,1307.5
2023-11-24,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,21,Niklas Malacinski,USA,1429,2024,1,2003-12-07T00:00:00.000000,19.964407939767284,23,0,1300.0,1306.5
