Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,1,Ida Marie Hagen,Norway,60,2026,1,2000-08-18T00:00:00.000000,25.297741273100616,1,0,1300.0,1317.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,2,Nathalie Armbruster,Germany,168,2026,1,2006-01-02T00:00:00.000000,19.923340177960302,1,0,1300.0,1316.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,3,Alexa Brabec,USA,81,2026,1,2004-10-08T00:00:00.000000,21.15811088295688,1,0,1300.0,1315.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,4,Katharina Gruber,Austria,219,2026,1,2008-08-26T00:00:00.000000,17.27583846680356,1,0,1300.0,1314.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,5,Minja Korhonen,Finland,200,2026,1,2007-05-19T00:00:00.000000,18.548939082819984,1,0,1300.0,1313.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,6,Lisa Hirner,Austria,52,2026,1,2003-10-03T00:00:00.000000,22.17385352498289,1,0,1300.0,1312.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,7,Yuna Kasai,Japan,161,2026,1,2004-02-04T00:00:00.000000,21.83436002737851,1,0,1300.0,1311.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,8,Ingrid Låte,Norway,201,2026,1,2007-07-23T00:00:00.000000,18.3709787816564,1,0,1300.0,1310.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,9,Heta Hirvonen,Finland,218,2026,1,2008-10-16T00:00:00.000000,17.136208076659823,1,0,1300.0,1309.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,10,Yuzuki Kainuma,Japan,239,2026,1,2007-07-22T00:00:00.000000,18.373716632443532,1,0,1300.0,1308.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,11,Marte Leinan Lund,Norway,7,2026,1,2001-04-01T00:00:00.000000,24.67898699520876,1,0,1300.0,1307.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,12,Jenny Nowak,Germany,25,2026,1,2002-08-20T00:00:00.000000,23.293634496919918,1,0,1300.0,1306.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,13,Trine Göpfert,Germany,107,2026,1,2005-06-19T00:00:00.000000,20.462696783025326,1,0,1300.0,1305.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,14,Ronja Loh,Germany,171,2026,1,2005-04-21T00:00:00.000000,20.62422997946612,1,0,1300.0,1304.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,15,Masa Likozar Brankovic,Slovenia,243,2026,1,2009-04-13T00:00:00.000000,16.646132785763175,1,0,1300.0,1303.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,16,Tia Malovrh,Slovenia,221,2026,1,2008-07-16T00:00:00.000000,17.388090349075974,1,0,1300.0,1302.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,17,Annika Malacinski,USA,61,2026,1,2001-05-09T00:00:00.000000,24.57494866529774,1,0,1300.0,1301.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,18,Anna-Sophie Gredler,Austria,223,2026,1,2008-01-21T00:00:00.000000,17.872689938398356,1,0,1300.0,1300.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,19,Tara Geraghty-Moats,USA,58,2026,1,1993-04-12T00:00:00.000000,32.648870636550306,1,0,1300.0,1299.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,20,Teja Pavec,Slovenia,209,2026,1,2007-04-15T00:00:00.000000,18.642026009582477,1,0,1300.0,1298.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,21,Mille Marie Hagen,Norway,180,2026,1,2002-12-13T00:00:00.000000,22.978781656399725,1,0,1300.0,1297.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,22,Claudia Purker,Austria,177,2026,1,1999-01-15T00:00:00.000000,26.888432580424368,1,0,1300.0,1296.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,23,Léna Brocard,France,53,2026,1,2000-05-19T00:00:00.000000,25.546885694729635,1,0,1300.0,1295.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,24,Daniela Dejori,Italy,37,2026,1,2002-08-01T00:00:00.000000,23.345653661875428,1,0,1300.0,1294.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,25,Annalena Slamik,Austria,41,2026,1,2003-03-23T00:00:00.000000,22.704996577686515,1,0,1300.0,1293.0
