Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,1,Wolfgang Perner,Austria,176,1997,27,1967-09-17T00:00:00.000000,29.49486652977413,115,0,1300.0,1331.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,2,Pieralberto Carrara,Italy,242,1997,27,1966-02-14T00:00:00.000000,31.082819986310746,170,0,1300.0,1328.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,3,Vladimir Drachev,Belarus,152,1997,27,1966-03-07T00:00:00.000000,31.025325119780973,91,0,1300.0,1325.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,4,Frode Andresen,Norway,136,1997,27,1973-09-08T00:00:00.000000,23.51813826146475,68,0,1300.0,1322.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,5,Viktor Maigourov,Russia,208,1997,27,1969-02-07T00:00:00.000000,28.101300479123886,96,0,1300.0,1319.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,6,Halvard Hanevold,Norway,105,1997,27,1969-12-03T00:00:00.000000,27.28268309377139,73,0,1300.0,1316.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,7,Peter Sendel,Germany,198,1997,27,1972-03-06T00:00:00.000000,25.026694045174537,66,0,1300.0,1313.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,8,Sergei Sen. Tarasov,Russia,255,1997,27,1965-02-15T00:00:00.000000,32.07939767282683,88,0,1300.0,1310.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,9,Carsten Heymann,Germany,203,1997,27,1972-01-07T00:00:00.000000,25.18822724161533,34,0,1300.0,1307.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,10,Ricco Gross,Germany,158,1997,27,1970-08-22T00:00:00.000000,26.56536618754278,134,0,1300.0,1304.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,11,Ole Einar Bjørndalen,Norway,2,1997,27,1974-01-27T00:00:00.000000,23.132101300479125,82,0,1300.0,1301.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,12,Sergei Rozhkov,Russia,151,1997,27,1972-04-01T00:00:00.000000,24.9555099247091,32,0,1300.0,1298.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,13,Alexei Kobelev,Russia,234,1997,27,1971-07-27T00:00:00.000000,25.637234770704996,85,0,1300.0,1295.5
