Date,Race_Date,Final_Date,Startlist,Sex,City,Country,HillSize,RaceType,Period,Elevation,Championship,Race
11/21/2025,11/21/2025,11/22/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7459,M,Lillehammer,Norway,140,Large,1,323,0,1
11/21/2025,11/21/2025,11/22/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7458,L,Lillehammer,Norway,140,Large,1,323,0,1
11/21/2025,11/21/2025,11/21/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7460,Mixed,Lillehammer,Norway,140,Team Large,1,323,0,1
11/21/2025,11/23/2025,11/23/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7463,M,Lillehammer,Norway,140,Large,1,323,0,2
11/21/2025,11/23/2025,11/23/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7464,L,Lillehammer,Norway,140,Large,1,323,0,2
11/25/2025,11/25/2025,11/25/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7467,M,Falun,Sweden,95,Normal,1,204,0,3
11/25/2025,11/26/2025,11/26/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7469,M,Falun,Sweden,132,Large,1,204,0,4
11/25/2025,11/28/2025,11/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7472,L,Falun,Sweden,95,Normal,1,204,0,3
11/25/2025,11/30/2025,11/30/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7473,L,Falun,Sweden,132,Large,1,204,0,4
11/29/2025,11/29/2025,11/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7475,M,Ruka,Finland,142,Large,1,388,0,5
12/04/2025,12/04/2025,12/04/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7479,L,Wisla,Poland,134,Large,1,594,0,5
12/04/2025,12/05/2025,12/06/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7483,M,Wisla,Poland,134,Large,1,594,0,6
12/04/2025,12/05/2025,12/05/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7482,L,Wisla,Poland,134,Large,1,594,0,6
12/04/2025,12/07/2025,12/07/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7485,M,Wisla,Poland,134,Large,1,594,0,7
12/12/2025,12/12/2025,12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7623,M,Klingenthal,Germany,140,Large,1,645,0,8
12/12/2025,12/12/2025,12/12/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=JP&raceid=7625,L,Klingenthal,Germany,140,Large,1,645,0,7
