Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,1,Otto Furrer,Switzerland,1521,1932,3,1903-10-19T00:00:00.000000,28.30116358658453,3,1300.0,1307.0
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,2,Hans Hauser,Austria,1528,1932,3,1911-10-03T00:00:00.000000,20.344969199178646,3,1300.0,1304.2
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,3,Gustav Lantschner,Germany,1484,1932,3,1910-07-12T00:00:00.000000,21.571526351813826,3,1300.0,1301.4
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,4,Friedl Dauber,Germany,1530,1932,3,1911-01-05T00:00:00.000000,21.086926762491444,3,1300.0,1298.6
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,5,Anton Seelos,Austria,1513,1932,3,1911-03-04T00:00:00.000000,20.928131416837783,4,1300.0,1295.8
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,6,David Zogg,Switzerland,1518,1932,3,1902-12-18T00:00:00.000000,29.136208076659823,3,1300.0,1293.0
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Anton Seelos,Austria,1513,1932,0,1911-03-04T00:00:00.000000,20.928131416837783,4,1295.8,1296.4299999999998
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Gustav Lantschner,Germany,1484,1932,0,1910-07-12T00:00:00.000000,21.571526351813826,3,1301.4,1301.19
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,David Zogg,Switzerland,1518,1932,0,1902-12-18T00:00:00.000000,29.136208076659823,3,1293.0,1294.05
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Otto Furrer,Switzerland,1521,1932,0,1903-10-19T00:00:00.000000,28.30116358658453,3,1307.0,1305.95
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Friedl Dauber,Germany,1530,1932,0,1911-01-05T00:00:00.000000,21.086926762491444,3,1298.6,1298.81
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Hans Hauser,Austria,1528,1932,0,1911-10-03T00:00:00.000000,20.344969199178646,3,1304.2,1303.57
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,1,Anton Seelos,Austria,1513,1933,3,1911-03-04T00:00:00.000000,21.93839835728953,6,1296.4299999999998,1303.5067104751797
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,2,Fritz Steuri,Switzerland,1529,1933,3,1909-02-20T00:00:00.000000,23.969883641341546,5,1300.0,1304.1904102205929
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,3,Otto Furrer,Switzerland,1521,1933,3,1903-10-19T00:00:00.000000,29.311430527036276,7,1305.95,1307.1965899564384
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,4,David Zogg,Switzerland,1518,1933,3,1902-12-18T00:00:00.000000,30.146475017111566,5,1294.05,1292.7842361078085
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,5,Gustav Lantschner,Germany,1484,1933,3,1910-07-12T00:00:00.000000,22.581793292265573,4,1301.19,1296.9516430193876
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,6,Friedl Pfeifer,Austria,1514,1933,3,1911-03-23T00:00:00.000000,21.88637919233402,2,1300.0,1292.9904102205928
1933-05-01,Summer,Break,M,0,Offseason,0,"",0,Gustav Lantschner,Germany,1484,1933,0,1910-07-12T00:00:00.000000,22.581793292265573,4,1296.9516430193876,1297.4088965664794
1933-05-01,Summer,Break,M,0,Offseason,0,"",0,Friedl Pfeifer,Austria,1514,1933,0,1911-03-23T00:00:00.000000,21.88637919233402,2,1292.9904102205928,1294.041848687504
1933-05-01,Summer,Break,M,0,Offseason,0,"",0,David Zogg,Switzerland,1518,1933,0,1902-12-18T00:00:00.000000,30.146475017111566,5,1292.7842361078085,1293.8666006916371
1933-05-01,Summer,Break,M,0,Offseason,0,"",0,Otto Furrer,Switzerland,1521,1933,0,1903-10-19T00:00:00.000000,29.311430527036276,7,1307.1965899564384,1306.1171014629726
1933-05-01,Summer,Break,M,0,Offseason,0,"",0,Anton Seelos,Austria,1513,1933,0,1911-03-04T00:00:00.000000,21.93839835728953,6,1303.5067104751797,1302.9807039039026
1933-05-01,Summer,Break,M,0,Offseason,0,"",0,Fritz Steuri,Switzerland,1529,1933,0,1909-02-20T00:00:00.000000,23.969883641341546,5,1304.1904102205929,1303.561848687504
1934-02-17,St.Moritz,Switzerland,M,Combined,WSC,0,N/A,1,David Zogg,Switzerland,1518,1934,3,1902-12-18T00:00:00.000000,31.16769336071184,7,1293.8666006916371,1300.9901612523095
1934-02-17,St.Moritz,Switzerland,M,Combined,WSC,0,N/A,2,Franz Pfnur,Germany,1483,1934,3,1908-11-21T00:00:00.000000,25.24024640657084,3,1300.0,1304.1752878878656
1934-02-17,St.Moritz,Switzerland,M,Combined,WSC,0,N/A,3,Heinz Von Allmen,Switzerland,1481,1934,3,1913-08-10T00:00:00.000000,20.52292950034223,2,1300.0,1301.3752878878656
