Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,1,Otto Furrer,Switzerland,1521,1932,3,1903-10-19T00:00:00.000000,28.30116358658453,4,1300.0,1310.0
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,2,Hans Hauser,Austria,1528,1932,3,1911-10-03T00:00:00.000000,20.344969199178646,2,1300.0,1306.0
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,3,Gustav Lantschner,Germany,1484,1932,3,1910-07-12T00:00:00.000000,21.571526351813826,3,1300.0,1302.0
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,4,Friedl Dauber,Germany,1530,1932,3,1911-01-05T00:00:00.000000,21.086926762491444,3,1300.0,1298.0
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,5,Anton Seelos,Austria,1513,1932,3,1911-03-04T00:00:00.000000,20.928131416837783,3,1300.0,1294.0
1932-02-06,Cortina d'Ampezzo,Italy,M,Combined,WSC,0,N/A,6,David Zogg,Switzerland,1518,1932,3,1902-12-18T00:00:00.000000,29.136208076659823,3,1300.0,1290.0
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Otto Furrer,Switzerland,1521,1932,0,1903-10-19T00:00:00.000000,28.30116358658453,4,1310.0,1308.5
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,David Zogg,Switzerland,1518,1932,0,1902-12-18T00:00:00.000000,29.136208076659823,3,1290.0,1291.5
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Anton Seelos,Austria,1513,1932,0,1911-03-04T00:00:00.000000,20.928131416837783,3,1294.0,1294.8999999999999
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Gustav Lantschner,Germany,1484,1932,0,1910-07-12T00:00:00.000000,21.571526351813826,3,1302.0,1301.7
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Hans Hauser,Austria,1528,1932,0,1911-10-03T00:00:00.000000,20.344969199178646,2,1306.0,1305.1
1932-05-01,Summer,Break,M,0,Offseason,0,"",0,Friedl Dauber,Germany,1530,1932,0,1911-01-05T00:00:00.000000,21.086926762491444,3,1298.0,1298.3
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,1,Anton Seelos,Austria,1513,1933,3,1911-03-04T00:00:00.000000,21.93839835728953,5,1294.8999999999999,1305.0565272357815
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,2,Fritz Steuri,Switzerland,1529,1933,3,1909-02-20T00:00:00.000000,23.969883641341546,4,1300.0,1305.9804300570424
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,3,Otto Furrer,Switzerland,1521,1933,3,1903-10-19T00:00:00.000000,29.311430527036276,6,1308.5,1310.186990927255
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,4,David Zogg,Switzerland,1518,1933,3,1902-12-18T00:00:00.000000,30.146475017111566,5,1291.5,1289.7738925967778
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,5,Gustav Lantschner,Germany,1484,1933,3,1910-07-12T00:00:00.000000,22.581793292265573,5,1301.7,1295.621729126101
1933-02-09,Innsbruck,Austria,M,Combined,WSC,0,N/A,6,Friedl Pfeifer,Austria,1514,1933,3,1911-03-23T00:00:00.000000,21.88637919233402,2,1300.0,1289.9804300570424
1933-05-01,Summer,Break,M,0,Offseason,0,"",0,Anton Seelos,Austria,1513,1933,0,1911-03-04T00:00:00.000000,21.93839835728953,5,1305.0565272357815,1304.2980481504142
